"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YOR044W",26.5562965301082,-0.824590118250804,0.36179777400326,-2.27914646662081,0.0226583601159169,0.0732262657562305
"YOR045W",119.210108714117,0.169097921228449,0.167383427294005,1.01024291330486,0.312378924021334,0.509019701754988
"YOR046C",176.137010348369,0.296719076152065,0.130922579619969,2.26637052992201,0.0234287063863199,0.0751298649790171
"YOR047C",83.9273038887109,-0.901225501296113,0.204774666117861,-4.4010595567393,1.07723549153959e-05,8.72771380785076e-05
"YOR048C",144.730481404894,-0.189552042091878,0.150798736195117,-1.25698694083628,0.208758364434546,0.392165567384974
"YOR049C",49.0173727658293,0.970120021544018,0.264249975793875,3.67122085301815,0.000241394632377306,0.0015254142292165
"YOR051C",145.696826754857,0.247942558833051,0.148193961034299,1.67309488930973,0.094308617488044,0.221581324442342
"YOR052C",119.529424628198,0.140237655254966,0.160181442466434,0.875492523326182,0.381305976587676,0.574235713962905
"YOR054C",198.634401010255,-0.00306410794053691,0.125539056272784,-0.0244076069353182,0.98052748067749,0.987249271121154
"YOR056C",65.6282344420878,0.162212796705594,0.215773539572982,0.751773350090165,0.452187371069359,0.641034731764658
"YOR057W",53.8103945919815,-0.0771713838638718,0.240502446217448,-0.320875671235784,0.748304611376027,0.860098088090417
"YOR058C",40.9331783885675,-0.428619009875798,0.283603988552881,-1.5113292731279,0.130704579281037,0.283339784906314
"YOR059C",94.3317546886194,-0.11157214899198,0.187396633522928,-0.595379686894586,0.551589700534182,0.722785600361145
"YOR060C",31.8200149090544,0.251067660154568,0.30941991233847,0.811414036857231,0.417127940833501,0.610125866055255
"YOR061W",231.094581108215,-0.246286573442556,0.118298800092105,-2.08190254889147,0.0373513719263867,0.108827377471105
"YOR062C",78.6062605820803,-0.833575192832553,0.210645482088598,-3.95724220888795,7.58200419624523e-05,0.00053248433828594
"YOR063W",5444.90779448728,0.513579899979068,0.0253057625243878,20.2949782479037,1.42417727649835e-91,1.14745171957874e-89
"YOR064C",25.408522273426,-1.01596922114909,0.373931063296715,-2.71699604785953,0.00658773943335478,0.0269502654815875
"YOR065W",105.593033451433,0.556693043934512,0.175108976780409,3.17912339030237,0.00147721193151751,0.00749065246043103
"YOR066W",52.6985016889387,-0.560908704318825,0.257342081121803,-2.17962294341337,0.0292854226703861,0.0895072375716069
"YOR067C",97.4626596259809,-0.462504912720212,0.18391612301044,-2.51476001749971,0.0119113432394887,0.0434850233683284
"YOR068C",5.46977111031963,-0.792650666063073,0.82097876621996,-0.965494722491644,0.334297078078835,0.530199539983407
"YOR069W",82.5664452573298,-0.376525959201517,0.19982504805467,-1.88427808659154,0.0595273699346878,0.156749102583352
"YOR070C",80.3928895697855,-0.631914696015498,0.207539685325378,-3.04478969901486,0.00232843061707083,0.0111279373105349
"YOR071C",58.307319791473,-0.115387904290114,0.23133117726578,-0.498799624218153,0.617920552329226,0.770396161469808
"YOR072W",1.37473252334673,-2.09935646947691,1.65735475553042,-1.26669107049748,0.205265774138125,NA
"YOR072W-B",0,NA,NA,NA,NA,NA
"YOR073W",30.1596403245263,-0.128167134912031,0.336893902960713,-0.380437680188523,0.703620548778657,0.831473376138723
"YOR074C",58.6933914225971,-0.174862378334697,0.239226655359678,-0.730948556179039,0.464810575849236,0.650981687711593
"YOR075W",36.2684629279371,-0.833561990534077,0.322822802007237,-2.5821038208924,0.00982000384375495,0.0371597144798581
"YOR076C",42.7830935874007,-0.250986984612352,0.274864441916242,-0.913130060995063,0.36117414184952,0.556930142708418
"YOR077W",27.3957241715989,-0.105546111868312,0.348831591868839,-0.302570393073795,0.762217280326653,0.869371302236515
"YOR078W",44.3221799878519,-0.251164004607283,0.283417481448809,-0.886197997820568,0.375510842377196,0.568459915613286
"YOR079C",108.69430494743,0.343163247574267,0.184224167454055,1.86274826108171,0.0624976924114714,0.162519517274524
"YOR080W",44.6901451031659,0.137904962178513,0.266284493786376,0.517885815345844,0.604537939332862,0.76116731123117
"YOR081C",71.3926191332006,-0.257914084797958,0.217338059473098,-1.18669544314158,0.235347773117851,0.425444821395031
"YOR083W",40.2562726762546,0.948667735339109,0.28259229646019,3.35701909507909,0.000787876711312978,0.00437784751180707
"YOR084W",76.0104334231957,-0.254768495963218,0.202847333579882,-1.25596176921344,0.209129831454462,0.392443469314639
"YOR085W",156.581985474484,0.209551230429698,0.143862438451287,1.45660835924628,0.145224518892989,0.30667908048716
"YOR086C",376.327404866412,0.0439267854143257,0.0915255284148632,0.479940254649131,0.631269876472904,0.780004490049808
"YOR087W",109.876601226958,-0.176453144913994,0.171436518931784,-1.02926229495016,0.303356436201656,0.499836951355592
"YOR089C",208.058969550493,0.0395079548512419,0.122534831241562,0.322422240688094,0.747132837476498,0.859602854066077
"YOR090C",108.302914463168,0.35102813802545,0.173102488079153,2.0278630418353,0.0425742280506397,0.121175440358362
"YOR091W",62.5240888797577,0.783327811267363,0.220712984114851,3.54907897425621,0.000386581120447612,0.00232630402460228
"YOR092W",68.156103213058,0.965102974489688,0.216476496697679,4.45823444675153,8.26374904719515e-06,6.80937616800839e-05
"YOR093C",54.7146404892805,-0.129265687649872,0.240682949620057,-0.537078708125903,0.591213247485213,0.751616929358256
"YOR094W",21.5188795118536,-0.364187779100891,0.386839601011168,-0.941443890824345,0.346477430224428,0.541902284370965
"YOR095C",75.4961078573106,0.672150839638264,0.202101917145411,3.32580140323289,0.000881647218669921,0.00480680029652652
"YOR096W",972.847995532106,0.354860579546005,0.0570982878756671,6.21490753485854,5.13548817835625e-10,6.39291135679069e-09
